Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,RemoteWork
48,No,Travel Rarely,1355.0, Research & Development ,4,Bachelor's,"1024,0",Medium,Male,78.0,Low,Coordinator, Healthcare Representative ,Medium,Single,14201.623802004948,22245,7,No,14,"3,0",Low,Zero,27.0,3,"3,0",15,4,8,Yes
44,No,Travel Rarely,1448.0, Sales ,28,High School,"1039,0",High,Female,53.0,High,Manager, Sales Executive ,High,Married,13320.0,11737,3,No,18,"3,0",Medium,Low,22.6174311640984,2,"3,0",12,11,11,Yes
44,No,Travel Rarely,200.0, Research & Development ,29,Bachelor's,"1225,0",High,Male,32.0,Medium,Assistant, Research Scientist ,High,Single,6399.663530605464,7744,1,No,25,"4,0",Low,Zero,11.52060986020989,3,"3,0",20,13,17,Yes
40,No,Unknown,1202.0, Research & Development ,25,Primary,"1375,0",Low,Female,89.0,High,Assistant, Healthcare Representative ,Medium,Unknown,8153.354302282702,13888,5,No,20,"4,0",Low,High,15.0,0,"3,0",12,11,8,Yes
34,No,Travel Rarely,404.0, Research & Development ,2,Bachelor's,Unknown,Medium,Female,98.0,Medium,Assistant, Healthcare Representative ,High,Single,6687.0,6163,1,No,11,"3,0",High,Zero,14.0,2,"4,0",14,4,11,Yes
35,No,Non Travel,208.0, Research & Development ,8,Bachelor's,Unknown,Medium,Female,52.0,Medium,Assistant, Healthcare Representative ,Medium,Unknown,6399.663530605464,12250,1,No,12,"3,0",High,Low,11.52060986020989,5,"3,0",14,2,9,Yes
50,No,Unknown,813.0, Research & Development ,17,Postgraduate,Unknown,High,Female,50.0,Low,Coordinator, Research Director ,Very Low,Unknown,6399.663530605464,21981,5,No,15,"3,0",Medium,High,11.52060986020989,3,"3,0",14,1,11,No
49,No,Unknown,465.0, Research & Development ,6,Primary,"1661,0",Medium,Female,41.0,Low,Manager, Healthcare Representative ,Medium,Unknown,6399.663530605464,11652,2,No,19,"3,0",Low,Low,11.52060986020989,3,"3,0",15,2,12,Yes
38,No,Travel Frequently,1189.0, Research & Development ,1,High School,"1668,0",High,Male,90.0,Medium,Assistant, Research Scientist ,High,Unknown,4735.0,9867,7,No,15,"3,0",High,Medium,19.0,4,"3,0",13,2,9,Yes
33,No,Unknown,802.0852348993288, Research & Development ,21,High School,"1698,0",Low,Male,79.0,High,Entry Level, Laboratory Technician ,Low,Unknown,7649.331843972514,13637,1,No,18,"3,0",High,High,14.0,6,"3,0",14,2,13,Yes
47,No,Travel Rarely,1001.0, Research & Development ,4,High School,Unknown,Medium,Female,92.0,Low,Coordinator, Manufacturing Director ,Low,Divorced,6399.663530605464,19271,8,Yes,12,"3,0",Medium,Low,11.52060986020989,4,"3,0",22,14,10,Yes
38,No,Unknown,1394.0, Research & Development ,8,High School,"1937,0",High,Female,58.0,Low,Assistant, Research Scientist ,Low,Divorced,10673.466593833637,18115,1,No,16,"3,0",Medium,Low,20.0,3,"3,0",20,0,7,No
37,No,Travel Rarely,161.0, Research & Development ,10,High School,"2017,0",Medium,Female,42.0,High,Coordinator, Research Director ,High,Unknown,8657.376760592888,15471,1,Yes,25,"4,0",Very Low,Low,16.0,2,"3,0",16,6,8,Yes
30,No,Unknown,288.0, Research & Development ,2,High School,"117,0",Medium,Male,99.0,Low,Assistant, Healthcare Representative ,High,Married,6137.264469041953,15830,1,No,19,"3,0",Very Low,High,11.0,3,"3,0",11,10,8,Yes
58,No,Travel Rarely,682.0, Research & Development ,18,Bachelor's,"131,0",High,Male,37.0,Medium,Manager, Sales Executive ,Medium,Single,13872.0,24409,0,No,13,"3,0",Medium,Zero,38.0,1,"2,0",37,1,8,Yes
34,No,Travel Rarely,1354.0, Research & Development ,5,High School,"153,0",Medium,Female,45.0,Low,Coordinator, Manager ,Very Low,Single,7649.331843972514,5615,2,No,12,"3,0",High,Zero,14.0,6,"3,0",11,5,8,No
58,Yes,Travel Rarely,147.0, Research & Development ,23,Bachelor's,Unknown,High,Female,94.0,Medium,Coordinator, Healthcare Representative ,High,Married,20753.91576003738,3465,1,No,12,"3,0",High,Low,40.0,3,"2,0",40,15,6,Yes
38,No,Unknown,119.0, Research & Development ,3,High School,"307,0",Very Low,Male,76.0,Medium,Coordinator, Sales Executive ,Medium,Divorced,6399.663530605464,9647,0,No,12,"3,0",Medium,Medium,11.52060986020989,6,"2,0",16,5,13,Yes
29,No,Travel Frequently,1413.0, Research & Development ,1,Primary,Unknown,Low,Female,42.0,Medium,Coordinator, Sales Executive ,High,Married,6137.264469041953,6599,1,No,14,"3,0",High,Low,11.0,5,"3,0",11,4,1,Yes
55,No,Travel Rarely,452.0, Research & Development ,1,High School,"374,0",High,Male,81.0,Medium,Director, Manager ,Very Low,Single,19045.0,18938,0,No,14,"3,0",Medium,Zero,37.0,2,"3,0",36,4,13,Yes
41,No,Unknown,334.0, Research & Development ,10,Bachelor's,Unknown,High,Male,88.0,Medium,Manager, Manager ,Low,Unknown,16015.0,15896,1,No,19,"3,0",Low,Zero,26.939197589651542,2,"3,0",22,0,4,Yes
39,No,Travel Rarely,1132.0, Research & Development ,1,High School,Unknown,Medium,Male,48.0,High,Coordinator, Healthcare Representative ,High,Unknown,9613.0,10942,0,No,17,"3,0",Very Low,High,19.0,5,"2,0",18,3,7,No
38,No,Unknown,802.0852348993288, Research & Development ,15,Secondary,Unknown,Medium,Male,92.0,Low,Coordinator, Research Director ,High,Unknown,11510.0,15682,0,No,14,"3,0",Low,Low,19.71487189498849,3,"3,0",11,2,9,Yes
43,No,Unknown,982.0, Research & Development ,12,High School,Unknown,Very Low,Male,59.0,Low,Manager, Research Director ,Low,Unknown,6399.663530605464,4345,1,No,11,"3,0",Medium,Low,11.52060986020989,3,"3,0",25,3,9,Yes
31,No,Unknown,480.0, Research & Development ,30,Secondary,"524,0",Low,Female,31.0,Medium,Assistant, Manufacturing Director ,Very Low,Married,4306.0,4156,1,No,12,"3,0",Low,Low,13.0,5,"1,0",13,3,12,Yes
50,No,Travel Rarely,1099.0, Research & Development ,27,Bachelor's,"569,0",Low,Male,88.0,Low,Manager, Manager ,Medium,Married,17046.0,9314,0,No,15,"3,0",Low,Low,28.0,2,"3,0",27,15,7,Yes
35,No,Unknown,672.0, Research & Development ,25,High School,"899,0",High,Male,78.0,Low,Coordinator, Manufacturing Director ,Low,Married,6399.663530605464,9129,3,No,16,"3,0",Very Low,Zero,11.52060986020989,2,"3,0",13,4,8,No
47,No,Unknown,1379.0, Research & Development ,16,Bachelor's,Unknown,Medium,Male,64.0,High,Assistant, Manufacturing Director ,Medium,Unknown,5067.0,6759,1,Yes,19,"3,0",Medium,Zero,20.0,3,"3,0",19,2,7,Yes
35,No,Unknown,583.0, Research & Development ,25,Bachelor's,"1014,0",Medium,Female,57.0,Medium,Coordinator, Healthcare Representative ,Medium,Divorced,6399.663530605464,6975,1,Yes,11,"3,0",Medium,Low,11.52060986020989,3,"2,0",16,10,1,Yes
40,No,Travel Rarely,1492.0, Research & Development ,20,Bachelor's,Unknown,Very Low,Male,61.0,Medium,Coordinator, Healthcare Representative ,High,Married,7649.331843972514,26542,4,No,20,"4,0",High,Low,14.0,6,"3,0",11,11,1,Yes
45,No,Unknown,1050.0, Sales ,9,Bachelor's,"1117,0",Low,Female,65.0,Low,Assistant, Sales Executive ,Medium,Married,8153.354302282702,17970,1,No,13,"3,0",High,Low,15.0,2,"3,0",15,4,12,No
33,No,Unknown,117.0, Research & Development ,9,High School,"1238,0",Very Low,Male,60.0,Medium,Entry Level, Research Scientist ,High,Married,8153.354302282702,6311,0,No,13,"3,0",Low,Low,15.0,5,"3,0",14,4,10,No
36,No,Travel Frequently,469.0, Research & Development ,3,High School,Unknown,Medium,Male,46.0,Medium,Entry Level, Research Scientist ,Low,Married,3692.0,9256,1,No,12,"3,0",Medium,Zero,12.0,2,"2,0",11,0,7,No
45,Yes,Unknown,802.0852348993288, Research & Development ,13,High School,"1277,0",Very Low,Female,94.0,Very Low,Director, Manager ,Low,Unknown,13697.60134369476,2493,2,Yes,16,"3,0",Very Low,Zero,26.0,2,"3,0",24,1,11,Yes
51,No,Travel Frequently,237.0, Research & Development ,27,High School,Unknown,Low,Male,83.0,Medium,Director, Manager ,Low,Unknown,19847.0,19196,4,Yes,24,"3,0",Very Low,Low,33.0842843958555,5,"2,0",29,11,10,No
34,No,Travel Rarely,1440.0, Research & Development ,7,Secondary,"1541,0",Low,Male,55.0,Medium,Entry Level, Sales Representative ,Medium,Unknown,2308.0,4944,0,Yes,25,"4,0",Low,Low,12.0,4,"3,0",11,5,7,No
43,No,Travel Rarely,1291.0, Research & Development ,15,Secondary,"1666,0",Medium,Male,65.0,Low,Manager, Research Director ,Medium,Unknown,6399.663530605464,3525,1,No,24,"4,0",Very Low,Low,11.52060986020989,3,"3,0",14,6,11,Yes
34,No,Unknown,1157.0, Research & Development ,5,Secondary,"1696,0",Low,Male,57.0,Low,Assistant, Laboratory Technician ,High,Unknown,6399.663530605464,11912,1,No,14,"3,0",Medium,Low,11.52060986020989,3,"3,0",15,4,13,No
38,No,Unknown,1336.0, Research & Development ,2,High School,"1805,0",Very Low,Male,100.0,Medium,Entry Level, Human Resources ,Low,Divorced,7145.309385662327,7129,5,No,13,"3,0",High,High,13.0,3,"3,0",11,3,8,Yes
48,No,Unknown,1224.0, Research & Development ,10,High School,Unknown,High,Male,91.0,Low,Director, Research Director ,Low,Unknown,15209.668718625322,13583,4,No,12,"3,0",High,Zero,29.0,3,"3,0",22,12,9,No
34,No,Unknown,735.0, Research & Development ,22,Bachelor's,"1932,0",Medium,Male,86.0,Low,Assistant, Research Scientist ,High,Married,5747.0,26496,1,Yes,15,"3,0",Low,Zero,16.0,3,"3,0",15,6,11,No
32,No,Travel Rarely,802.0852348993288, Research & Development ,31,Bachelor's,"2016,0",Medium,Female,48.0,Medium,Coordinator, Sales Executive ,High,Unknown,10422.0,24032,1,No,19,"3,0",Medium,Medium,14.0,3,"3,0",14,5,7,Yes
29,No,Travel Rarely,1389.0, Research & Development ,21,Bachelor's,"20,0",Low,Female,51.0,High,Coordinator, Manufacturing Director ,Very Low,Divorced,5633.242010731766,10195,1,No,11,"3,0",Medium,Low,10.0,1,"3,0",10,8,8,No
46,No,Unknown,638.0, Research & Development ,1,High School,Unknown,Medium,Male,40.0,Low,Coordinator, Healthcare Representative ,Very Low,Married,11177.489052143825,3142,2,Yes,13,"3,0",Medium,Low,21.0,5,"2,0",10,9,5,No
30,No,Unknown,1240.0, Human Resources ,9,High School,"184,0",Medium,Male,48.0,Medium,Assistant, Human Resources ,High,Married,6347.0,13982,0,Yes,19,"3,0",High,Zero,11.435361670450128,2,"1,0",11,4,7,No
45,No,Unknown,194.0, Research & Development ,9,High School,"206,0",Low,Male,60.0,Medium,Assistant, Laboratory Technician ,Low,Unknown,2348.0,10901,8,No,18,"3,0",Medium,Low,20.0,2,"3,0",17,0,15,Yes
30,No,Travel Rarely,1339.0, Research & Development ,5,High School,"228,0",Low,Female,41.0,Medium,Coordinator, Sales Executive ,High,Unknown,6399.663530605464,8053,2,No,12,"3,0",Medium,Low,11.52060986020989,2,"3,0",10,7,4,Yes
30,No,Unknown,111.0, Research & Development ,9,High School,"239,0",Medium,Male,66.0,Medium,Assistant, Laboratory Technician ,Very Low,Unknown,3072.0,11012,1,No,11,"3,0",Medium,Medium,12.0,4,"3,0",12,6,10,Yes
34,No,Travel Frequently,802.0852348993288, Research & Development ,29,Primary,"256,0",High,Male,45.0,Low,Assistant, Manufacturing Director ,Medium,Married,5633.242010731766,14074,1,No,17,"3,0",Medium,Zero,10.0,2,"2,0",10,1,9,No
