,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,RemoteWork
19,40,No,Travel Rarely,884.0,,15,High School,,Very Low,Female,80.0,Low,Coordinator, Manufacturing Director ,Medium,,,25800,1,,13,"3,0",High,Medium,18.0,2,,18,14,12,Yes
20,45,No,Non Travel,1238.0, Research & Development ,1,Primary,"1712,0",Medium,Male,74.0,Low,Coordinator, Healthcare Representative ,Medium,,10748.0,3395,3,,23,"4,0",High,Low,25.0,3,"2,0",23,14,4,No
21,33,No,,515.0,,1,Secondary,"73,0",Very Low,Female,98.0,Medium,Coordinator, Research Director ,High,Single,,15146,1,Yes,12,"3,0",Medium,Zero,15.0,1,"3,0",15,8,12,Yes
22,36,No,,1223.0,,8,High School,,Medium,Female,59.0,Medium,Coordinator, Healthcare Representative ,Medium,Divorced,,8202,1,,13,,Low,High,17.0,2,"3,0",17,12,8,Yes
23,47,No,,202.0,,2,Secondary,"820,0",Medium,Female,33.0,Medium,Manager, Manager ,High,Married,16752.0,12982,1,,11,"3,0",Medium,Low,,3,"2,0",26,3,0,No
24,36,No,Travel Rarely,928.0,,42,Secondary,,High,Male,56.0,Medium,Assistant, Sales Executive ,High,,6201.0,2823,1,,14,"3,0",High,Low,18.0,1,,18,4,11,Yes
25,35,No,,607.0,,9,High School,,High,Female,66.0,Low,Coordinator, Manufacturing Director ,Medium,Married,,23457,1,Yes,20,"4,0",Low,Low,17.0,2,"3,0",17,5,15,No
26,52,Yes,,266.0,,2,Primary,,Very Low,Female,57.0,Very Low,Director, Manager ,High,Married,19845.0,25846,1,No,15,"3,0",High,Low,33.0,3,"3,0",32,6,9,Yes
27,36,No,,429.0,,2,Bachelor's,"1294,0",Medium,Female,53.0,Medium,Assistant, Manufacturing Director ,Low,Single,,2323,9,Yes,11,"3,0",High,Zero,18.0,2,"3,0",16,5,12,No
28,33,No,Travel Rarely,589.0,,28,Bachelor's,,Low,Male,79.0,Medium,Assistant, Laboratory Technician ,Medium,Married,,22949,1,,12,"3,0",Low,Low,15.0,3,"3,0",15,5,7,Yes
29,34,No,Non Travel,, Sales ,10,High School,"1774,0",High,Male,87.0,Medium,Assistant, Sales Executive ,Medium,,4001.0,12313,1,Yes,14,"3,0",Medium,Low,15.0,3,"3,0",15,0,7,Yes
30,41,No,,, Sales ,37,Primary,"1815,0",Medium,Female,81.0,Medium,Coordinator, Sales Executive ,Medium,Divorced,10447.0,26458,0,,13,"3,0",High,Low,,3,"4,0",22,13,5,Yes
31,47,No,,1180.0, Research & Development ,25,High School,"1993,0",Very Low,Male,84.0,Medium,Coordinator, Healthcare Representative ,Medium,,,13084,2,,23,"4,0",Low,Zero,25.0,3,"3,0",17,12,11,Yes
32,53,No,Travel Rarely,1282.0,,5,High School,"32,0",Medium,Female,58.0,Medium,Director, Manager ,Medium,,,10735,4,,11,"3,0",High,Low,26.0,3,"2,0",14,4,8,Yes
33,35,No,,776.0,,1,Bachelor's,"100,0",Medium,Male,32.0,Low,Assistant, Sales Executive ,Very Low,Single,,23016,0,No,14,,Low,Zero,16.0,2,"3,0",15,2,8,No
34,34,No,Travel Rarely,665.0,,6,Bachelor's,,Very Low,Female,41.0,Medium,Assistant, Research Scientist ,Medium,Single,,12482,1,,14,"3,0",Medium,Zero,16.0,3,"3,0",16,2,10,Yes
35,46,No,Travel Rarely,526.0,,1,Secondary,"244,0",Low,Female,92.0,Medium,Coordinator, Sales Executive ,Very Low,Divorced,,2137,1,No,25,"4,0",Medium,High,24.0,2,"3,0",24,15,7,Yes
36,43,No,,1034.0,,16,High School,"327,0",High,Female,80.0,Medium,Manager, Manager ,High,Married,16064.0,7744,5,,22,"4,0",Medium,Low,22.0,3,"3,0",17,1,9,Yes
37,36,No,,1403.0, Research & Development ,6,High School,"373,0",High,Male,47.0,Medium,Entry Level, Laboratory Technician ,High,Married,3210.0,20251,0,,11,"3,0",Medium,Low,16.0,4,"3,0",15,10,11,Yes
38,60,No,Travel Frequently,1499.0,,28,High School,,Medium,Female,80.0,Low,Coordinator, Sales Executive ,Very Low,Married,10266.0,2845,4,No,19,"3,0",High,Zero,22.0,5,"4,0",18,13,11,Yes
39,40,No,Travel Frequently,580.0,,5,Bachelor's,"729,0",High,Male,48.0,Low,Coordinator, Sales Executive ,Very Low,Married,10475.0,23772,5,Yes,21,"4,0",Medium,Low,20.0,2,"3,0",18,1,12,No
40,32,No,Travel Rarely,859.0,,4,High School,"830,0",Medium,Female,98.0,Low,Assistant, Manufacturing Director ,Medium,Married,6162.0,19124,1,No,12,"3,0",Medium,Low,14.0,3,"3,0",14,6,8,No
41,41,No,Travel Rarely,263.0,,35,High School,,Medium,Male,59.0,Medium,Entry Level, Laboratory Technician ,Very Low,Single,4721.0,3119,2,Yes,13,,Medium,Zero,20.0,3,"3,0",18,2,17,Yes
42,53,No,,1376.0,,2,Secondary,"981,0",Medium,Male,,Medium,Manager, Manager ,Medium,Divorced,,13938,6,No,13,"3,0",Medium,Low,22.0,3,"4,0",17,15,2,No
43,36,Yes,Travel Rarely,885.0,,16,Bachelor's,"1042,0",Medium,Female,43.0,High,Entry Level, Laboratory Technician ,Very Low,Single,,8269,1,,16,"3,0",Medium,Zero,18.0,1,"3,0",17,15,14,Yes
44,46,No,,1003.0,,8,Bachelor's,"1080,0",High,Female,74.0,Low,Assistant, Research Scientist ,Very Low,Divorced,4615.0,21029,8,Yes,23,"4,0",Very Low,High,,2,"3,0",16,1,7,No
45,38,No,Travel Rarely,1321.0,,1,Bachelor's,"1995,0",High,Male,86.0,Medium,Assistant, Sales Executive ,Low,Married,,7636,0,No,15,"3,0",Very Low,Medium,16.0,3,,15,5,8,Yes
46,51,No,,,,1,Bachelor's,"145,0",Very Low,Female,30.0,Low,Coordinator, Healthcare Representative ,Very Low,Single,,25796,3,,20,"4,0",Medium,Zero,23.0,1,"2,0",13,12,8,Yes
47,43,No,,394.0,,26,Secondary,"158,0",Medium,Male,92.0,Medium,Manager, Manager ,High,Married,16959.0,19494,1,Yes,12,"3,0",High,Medium,25.0,3,"4,0",25,4,12,Yes
48,37,No,,1372.0,,1,High School,"391,0",High,Female,42.0,Medium,Entry Level, Research Scientist ,High,Single,,15881,1,No,12,"3,0",Low,Zero,,3,"3,0",17,5,7,Yes
49,32,No,Travel Rarely,,,8,Secondary,"436,0",Medium,Female,65.0,Low,Assistant, Sales Executive ,Low,Married,,24624,1,Yes,11,"3,0",High,Zero,,2,"3,0",13,11,9,Yes
50,38,No,,1333.0,,1,High School,,High,Female,80.0,Medium,Coordinator, Research Director ,Very Low,Married,,16292,1,,13,"3,0",Low,Low,15.0,3,"3,0",15,5,11,No
51,46,No,,228.0,,3,High School,"1527,0",Medium,Female,51.0,Medium,Manager, Manager ,Low,,,11380,8,No,12,"3,0",High,Low,23.0,2,"4,0",13,5,1,Yes
52,35,Yes,Travel Rarely,737.0,,10,High School,,High,Male,55.0,Low,Coordinator, Sales Executive ,Very Low,Married,10306.0,21530,9,,17,"3,0",Medium,Zero,15.0,3,,13,6,0,No
53,43,No,,823.0,,6,High School,"1866,0",Very Low,Female,81.0,Low,Director, Manager ,Medium,Married,,22539,7,No,13,"3,0",High,Zero,21.0,2,"3,0",16,6,14,Yes
54,56,No,Non Travel,667.0,,1,Bachelor's,"2026,0",Medium,Male,57.0,Medium,Assistant, Healthcare Representative ,Medium,Divorced,,26236,1,No,21,,Very Low,Low,,2,"2,0",13,1,9,Yes
55,36,No,Non Travel,301.0,,15,Bachelor's,,High,Male,88.0,Very Low,Assistant, Sales Executive ,High,Divorced,5406.0,10436,1,No,24,"4,0",Very Low,Low,,4,"2,0",15,11,11,Yes
56,38,No,,573.0,,6,High School,"107,0",Low,Female,79.0,Very Low,Assistant, Research Scientist ,High,,,15717,7,,12,"3,0",High,High,17.0,3,"3,0",13,1,9,Yes
57,49,No,,,,26,Bachelor's,"170,0",Medium,Female,96.0,Medium,Assistant, Manufacturing Director ,Very Low,,,5549,1,No,14,"3,0",Medium,Zero,16.0,2,"2,0",15,5,11,No
58,39,No,Travel Rarely,1329.0,,4,Bachelor's,,High,Female,47.0,Low,Assistant, Sales Executive ,Medium,Married,5902.0,14590,4,,14,"3,0",Medium,Low,17.0,1,"4,0",15,5,9,Yes
59,40,No,,630.0,,4,Bachelor's,"215,0",Medium,Male,67.0,Low,Coordinator, Sales Executive ,High,Married,10855.0,8552,7,No,11,,Very Low,Low,15.0,2,"2,0",12,2,11,Yes
60,36,No,,,,5,Secondary,"304,0",High,Male,62.0,Medium,Assistant, Laboratory Technician ,Low,Single,5914.0,9945,8,No,16,"3,0",High,Zero,16.0,3,"4,0",13,3,7,Yes
61,37,No,,1063.0,,25,Postgraduate,"529,0",Low,Female,72.0,Medium,Assistant, Research Scientist ,Medium,Married,,23866,3,Yes,15,"3,0",Very Low,Medium,15.0,2,"3,0",13,10,7,No
62,35,No,,1017.0,,6,Bachelor's,"691,0",Low,Male,82.0,Very Low,Assistant, Research Scientist ,High,,6646.0,19368,1,,13,"3,0",Low,Zero,,3,"3,0",17,11,8,Yes
63,33,No,Travel Frequently,1296.0,,6,High School,"692,0",Medium,Male,,Medium,Assistant, Healthcare Representative ,High,Divorced,,5335,3,No,23,"4,0",Medium,Low,15.0,2,"1,0",13,4,7,No
64,50,No,Travel Rarely,939.0, Research & Development ,24,High School,"1005,0",High,Male,,Medium,Manager, Manufacturing Director ,Medium,Married,13973.0,4161,3,Yes,18,"3,0",High,Low,22.0,2,"3,0",12,1,5,No
65,48,No,Travel Rarely,1355.0,,4,Bachelor's,"1024,0",Medium,Male,78.0,Low,Coordinator, Healthcare Representative ,Medium,Single,,22245,7,,14,,Low,Zero,27.0,3,"3,0",15,4,8,Yes
66,44,No,Travel Rarely,1448.0, Sales ,28,High School,"1039,0",High,Female,53.0,High,Manager, Sales Executive ,High,Married,13320.0,11737,3,,18,"3,0",Medium,Low,,2,"3,0",12,11,11,Yes
67,44,No,Travel Rarely,200.0,,29,Bachelor's,"1225,0",High,Male,32.0,Medium,Assistant, Research Scientist ,High,Single,,7744,1,,25,"4,0",Low,Zero,,3,"3,0",20,13,17,Yes
68,40,No,,1202.0,,25,Primary,"1375,0",Low,Female,89.0,High,Assistant, Healthcare Representative ,Medium,,,13888,5,No,20,"4,0",Low,High,15.0,0,"3,0",12,11,8,Yes
69,34,No,Travel Rarely,404.0,,2,Bachelor's,,Medium,Female,98.0,Medium,Assistant, Healthcare Representative ,High,Single,6687.0,6163,1,,11,"3,0",High,Zero,14.0,2,"4,0",14,4,11,Yes
70,35,No,Non Travel,208.0, Research & Development ,8,Bachelor's,,Medium,Female,52.0,Medium,Assistant, Healthcare Representative ,Medium,,,12250,1,,12,"3,0",High,Low,,5,"3,0",14,2,9,Yes
71,50,No,,813.0,,17,Postgraduate,,High,Female,50.0,Low,Coordinator, Research Director ,Very Low,,,21981,5,No,15,"3,0",Medium,High,,3,"3,0",14,1,11,No
72,49,No,,465.0,,6,Primary,"1661,0",Medium,Female,41.0,Low,Manager, Healthcare Representative ,Medium,,,11652,2,,19,"3,0",Low,Low,,3,"3,0",15,2,12,Yes
73,38,No,Travel Frequently,1189.0,,1,High School,"1668,0",High,Male,90.0,Medium,Assistant, Research Scientist ,High,,4735.0,9867,7,No,15,"3,0",High,Medium,19.0,4,,13,2,9,Yes
74,33,No,,,,21,High School,"1698,0",Low,Male,79.0,High,Entry Level, Laboratory Technician ,Low,,,13637,1,No,18,"3,0",High,High,14.0,6,,14,2,13,Yes
75,47,No,Travel Rarely,1001.0,,4,High School,,Medium,Female,92.0,Low,Coordinator, Manufacturing Director ,Low,Divorced,,19271,8,Yes,12,,Medium,Low,,4,"3,0",22,14,10,Yes
76,38,No,,1394.0, Research & Development ,8,High School,"1937,0",High,Female,58.0,Low,Assistant, Research Scientist ,Low,Divorced,,18115,1,,16,"3,0",Medium,Low,20.0,3,"3,0",20,0,7,No
77,37,No,Travel Rarely,161.0,,10,High School,"2017,0",Medium,Female,42.0,High,Coordinator, Research Director ,High,,,15471,1,Yes,25,"4,0",Very Low,Low,16.0,2,"3,0",16,6,8,Yes
78,30,No,,288.0,,2,High School,"117,0",Medium,Male,99.0,Low,Assistant, Healthcare Representative ,High,Married,,15830,1,No,19,,Very Low,High,11.0,3,"3,0",11,10,8,Yes
79,58,No,Travel Rarely,682.0,,18,Bachelor's,"131,0",High,Male,37.0,Medium,Manager, Sales Executive ,Medium,Single,13872.0,24409,0,,13,"3,0",Medium,Zero,38.0,1,"2,0",37,1,8,Yes
80,34,No,Travel Rarely,1354.0,,5,High School,"153,0",Medium,Female,45.0,Low,Coordinator, Manager ,Very Low,Single,,5615,2,,12,"3,0",High,Zero,14.0,6,"3,0",11,5,8,No
81,58,Yes,Travel Rarely,147.0,,23,Bachelor's,,High,Female,94.0,Medium,Coordinator, Healthcare Representative ,High,Married,,3465,1,,12,"3,0",High,Low,40.0,3,"2,0",40,15,6,Yes
82,38,No,,119.0,,3,High School,"307,0",Very Low,Male,76.0,Medium,Coordinator, Sales Executive ,Medium,Divorced,,9647,0,,12,"3,0",Medium,Medium,,6,"2,0",16,5,13,Yes
83,29,No,Travel Frequently,1413.0,,1,Primary,,Low,Female,42.0,Medium,Coordinator, Sales Executive ,High,Married,,6599,1,,14,"3,0",High,Low,11.0,5,"3,0",11,4,1,Yes
84,55,No,Travel Rarely,452.0,,1,High School,"374,0",High,Male,81.0,Medium,Director, Manager ,Very Low,Single,19045.0,18938,0,,14,"3,0",Medium,Zero,37.0,2,"3,0",36,4,13,Yes
85,41,No,,334.0,,10,Bachelor's,,High,Male,88.0,Medium,Manager, Manager ,Low,,16015.0,15896,1,,19,"3,0",Low,Zero,,2,"3,0",22,0,4,Yes
86,39,No,Travel Rarely,1132.0, Research & Development ,1,High School,,Medium,Male,48.0,High,Coordinator, Healthcare Representative ,High,,9613.0,10942,0,No,17,,Very Low,High,19.0,5,"2,0",18,3,7,No
87,38,No,,,,15,Secondary,,Medium,Male,92.0,Low,Coordinator, Research Director ,High,,11510.0,15682,0,,14,"3,0",Low,Low,,3,"3,0",11,2,9,Yes
88,43,No,,982.0,,12,High School,,Very Low,Male,59.0,Low,Manager, Research Director ,Low,,,4345,1,No,11,"3,0",Medium,Low,,3,,25,3,9,Yes
89,31,No,,480.0,,30,Secondary,"524,0",Low,Female,31.0,Medium,Assistant, Manufacturing Director ,Very Low,Married,4306.0,4156,1,No,12,"3,0",Low,Low,13.0,5,"1,0",13,3,12,Yes
90,50,No,Travel Rarely,1099.0, Research & Development ,27,Bachelor's,"569,0",Low,Male,88.0,Low,Manager, Manager ,Medium,Married,17046.0,9314,0,No,15,"3,0",Low,Low,28.0,2,"3,0",27,15,7,Yes
91,35,No,,672.0,,25,High School,"899,0",High,Male,78.0,Low,Coordinator, Manufacturing Director ,Low,Married,,9129,3,No,16,,Very Low,Zero,,2,"3,0",13,4,8,No
92,47,No,,1379.0,,16,Bachelor's,,Medium,Male,64.0,High,Assistant, Manufacturing Director ,Medium,,5067.0,6759,1,Yes,19,"3,0",Medium,Zero,20.0,3,,19,2,7,Yes
93,35,No,,583.0, Research & Development ,25,Bachelor's,"1014,0",Medium,Female,57.0,Medium,Coordinator, Healthcare Representative ,Medium,Divorced,,6975,1,Yes,11,,Medium,Low,,3,"2,0",16,10,1,Yes
94,40,No,Travel Rarely,1492.0,,20,Bachelor's,,Very Low,Male,61.0,Medium,Coordinator, Healthcare Representative ,High,Married,,26542,4,,20,"4,0",High,Low,14.0,6,"3,0",11,11,1,Yes
95,45,No,,1050.0, Sales ,9,Bachelor's,"1117,0",Low,Female,65.0,Low,Assistant, Sales Executive ,Medium,Married,,17970,1,,13,"3,0",High,Low,15.0,2,"3,0",15,4,12,No
96,33,No,,117.0, Research & Development ,9,High School,"1238,0",Very Low,Male,60.0,Medium,Entry Level, Research Scientist ,High,Married,,6311,0,,13,"3,0",Low,Low,15.0,5,"3,0",14,4,10,No
97,36,No,Travel Frequently,469.0,,3,High School,,Medium,Male,46.0,Medium,Entry Level, Research Scientist ,Low,Married,3692.0,9256,1,No,12,"3,0",Medium,Zero,12.0,2,"2,0",11,0,7,No
98,45,Yes,,,,13,High School,"1277,0",Very Low,Female,94.0,Very Low,Director, Manager ,Low,,,2493,2,Yes,16,"3,0",Very Low,Zero,26.0,2,"3,0",24,1,11,Yes
99,51,No,Travel Frequently,237.0,,27,High School,,Low,Male,83.0,Medium,Director, Manager ,Low,,19847.0,19196,4,Yes,24,,Very Low,Low,,5,"2,0",29,11,10,No
100,34,No,Travel Rarely,1440.0,,7,Secondary,"1541,0",Low,Male,55.0,Medium,Entry Level, Sales Representative ,Medium,,2308.0,4944,0,Yes,25,"4,0",Low,Low,12.0,4,"3,0",11,5,7,No
101,43,No,Travel Rarely,1291.0, Research & Development ,15,Secondary,"1666,0",Medium,Male,65.0,Low,Manager, Research Director ,Medium,,,3525,1,No,24,"4,0",Very Low,Low,,3,"3,0",14,6,11,Yes
102,34,No,,1157.0,,5,Secondary,"1696,0",Low,Male,57.0,Low,Assistant, Laboratory Technician ,High,,,11912,1,No,14,"3,0",Medium,Low,,3,,15,4,13,No
103,38,No,,1336.0,,2,High School,"1805,0",Very Low,Male,100.0,Medium,Entry Level, Human Resources ,Low,Divorced,,7129,5,No,13,"3,0",High,High,13.0,3,"3,0",11,3,8,Yes
104,48,No,,1224.0,,10,High School,,High,Male,91.0,Low,Director, Research Director ,Low,,,13583,4,No,12,"3,0",High,Zero,29.0,3,"3,0",22,12,9,No
105,34,No,,735.0, Research & Development ,22,Bachelor's,"1932,0",Medium,Male,86.0,Low,Assistant, Research Scientist ,High,Married,5747.0,26496,1,Yes,15,"3,0",Low,Zero,16.0,3,"3,0",15,6,11,No
106,32,No,Travel Rarely,,,31,Bachelor's,"2016,0",Medium,Female,48.0,Medium,Coordinator, Sales Executive ,High,,10422.0,24032,1,No,19,"3,0",Medium,Medium,14.0,3,"3,0",14,5,7,Yes
107,29,No,Travel Rarely,1389.0,,21,Bachelor's,"20,0",Low,Female,51.0,High,Coordinator, Manufacturing Director ,Very Low,Divorced,,10195,1,No,11,"3,0",Medium,Low,10.0,1,"3,0",10,8,8,No
108,46,No,,638.0,,1,High School,,Medium,Male,40.0,Low,Coordinator, Healthcare Representative ,Very Low,Married,,3142,2,Yes,13,"3,0",Medium,Low,21.0,5,"2,0",10,9,5,No
109,30,No,,1240.0, Human Resources ,9,High School,"184,0",Medium,Male,48.0,Medium,Assistant, Human Resources ,High,Married,6347.0,13982,0,Yes,19,"3,0",High,Zero,,2,"1,0",11,4,7,No
110,45,No,,194.0,,9,High School,"206,0",Low,Male,60.0,Medium,Assistant, Laboratory Technician ,Low,,2348.0,10901,8,No,18,"3,0",Medium,Low,20.0,2,,17,0,15,Yes
111,30,No,Travel Rarely,1339.0,,5,High School,"228,0",Low,Female,41.0,Medium,Coordinator, Sales Executive ,High,,,8053,2,No,12,"3,0",Medium,Low,,2,"3,0",10,7,4,Yes
112,30,No,,111.0,,9,High School,"239,0",Medium,Male,66.0,Medium,Assistant, Laboratory Technician ,Very Low,,3072.0,11012,1,No,11,,Medium,Medium,12.0,4,"3,0",12,6,10,Yes
113,34,No,Travel Frequently,,,29,Primary,"256,0",High,Male,45.0,Low,Assistant, Manufacturing Director ,Medium,Married,,14074,1,,17,"3,0",Medium,Zero,10.0,2,"2,0",10,1,9,No
114,51,No,Travel Rarely,1469.0,,8,Bachelor's,,Low,Male,81.0,Low,Coordinator, Research Director ,Low,Married,12490.0,15736,5,No,16,"3,0",High,Medium,16.0,5,"1,0",10,4,7,No
115,34,No,,470.0,,39,Bachelor's,"339,0",Medium,Male,84.0,Low,Assistant, Manufacturing Director ,Very Low,,,23687,6,,13,"3,0",Low,Low,13.0,3,"3,0",11,5,9,Yes
116,35,No,Travel Rarely,1232.0,,16,High School,"406,0",Medium,Male,96.0,Medium,Coordinator, Sales Executive ,Low,Married,8020.0,5100,0,,15,"3,0",Medium,Medium,12.0,3,"2,0",11,6,9,Yes
117,45,No,Travel Frequently,1249.0,,7,High School,,Very Low,Male,97.0,Medium,Coordinator, Laboratory Technician ,Very Low,,,20308,1,,18,"3,0",Very Low,Low,24.0,2,"3,0",24,9,11,Yes
118,39,No,,117.0,,10,Primary,"429,0",Medium,Male,99.0,Medium,Manager, Manager ,Very Low,Married,17068.0,5355,1,,14,,High,Zero,21.0,3,"3,0",21,11,10,Yes
119,31,No,,798.0,,7,Secondary,,Medium,Female,48.0,Low,Coordinator, Manufacturing Director ,Medium,Married,8943.0,14034,1,No,24,"4,0",Very Low,Low,10.0,2,"3,0",10,8,9,No
120,39,No,,672.0, Research & Development ,7,Secondary,"444,0",Medium,Male,54.0,Low,Director, Manager ,High,Married,19272.0,21141,1,,15,"3,0",Very Low,Low,,2,"3,0",21,13,3,Yes
121,45,No,Travel Rarely,549.0,,8,Bachelor's,"452,0",High,Male,75.0,Medium,Assistant, Research Scientist ,High,,,9278,9,No,14,"3,0",Very Low,Medium,12.0,3,"3,0",10,9,8,Yes
122,30,No,Travel Rarely,570.0, Sales ,5,High School,"456,0",High,Female,30.0,Low,Assistant, Sales Executive ,Medium,,,5431,1,,13,"3,0",Medium,High,10.0,2,"3,0",10,1,2,Yes
123,31,No,,1232.0,,7,Bachelor's,,Medium,Female,39.0,Medium,Coordinator, Manufacturing Director ,High,,,25713,1,,14,"3,0",Medium,Zero,11.0,2,"2,0",11,4,10,No
124,36,No,,541.0,,3,Bachelor's,"481,0",Very Low,Male,48.0,Low,Coordinator, Sales Executive ,High,Married,,7246,4,No,11,"3,0",Very Low,Low,16.0,2,"3,0",13,1,12,Yes
125,36,No,Travel Rarely,164.0,,2,Secondary,"513,0",Low,Male,61.0,Low,Coordinator, Sales Executive ,Medium,Married,,3809,1,,13,"3,0",Low,Medium,10.0,2,"3,0",10,9,0,Yes
126,55,No,Travel Rarely,1117.0,,18,Postgraduate,"597,0",Very Low,Female,83.0,Medium,Manager, Manager ,Low,Single,,9873,3,No,23,"4,0",High,Zero,37.0,2,"3,0",10,7,7,Yes
127,35,No,,619.0,,1,High School,"600,0",Low,Male,85.0,Medium,Assistant, Sales Executive ,Medium,,,18659,9,,11,"3,0",Medium,Zero,15.0,2,"3,0",11,6,9,Yes
128,42,No,Travel Rarely,319.0,,24,High School,,High,Male,56.0,Medium,Coordinator, Manufacturing Director ,Very Low,Married,,6950,1,,21,"4,0",High,Low,10.0,5,"2,0",10,5,8,No
129,52,No,Travel Rarely,956.0,,6,Secondary,"630,0",High,Male,78.0,Medium,Assistant, Research Scientist ,Very Low,Divorced,5577.0,22087,3,Yes,12,,Low,Medium,18.0,3,"3,0",10,6,9,Yes
130,49,No,,1245.0,,18,Bachelor's,"638,0",High,Male,58.0,Low,Director, Research Director ,Medium,,,2125,1,Yes,17,"3,0",Medium,Low,,5,"3,0",31,0,9,Yes
131,34,No,Travel Rarely,1397.0, Research & Development ,1,Postgraduate,"683,0",Low,Male,42.0,Medium,Entry Level, Research Scientist ,High,Married,2691.0,7660,1,No,12,"3,0",High,Low,,4,"2,0",10,8,8,Yes
